team,wins,probability
Spain,1122,11.22
Argentina,1081,10.81
France,864,8.64
England,831,8.31
Portugal,774,7.74
Netherlands,668,6.68
Brazil,639,6.39
Belgium,571,5.71
Germany,567,5.67
Mexico,281,2.81
Italy,274,2.74
Colombia,236,2.36
Morocco,233,2.33
Japan,184,1.84
Croatia,177,1.77
Switzerland,170,1.7
Uruguay,152,1.52
United States,124,1.24
Senegal,114,1.14
Ecuador,112,1.12
South Korea,108,1.08
Nigeria,90,0.9
Iran,79,0.79
Algeria,61,0.61
Venezuela,57,0.57
Australia,56,0.56
Serbia,54,0.54
Saudi Arabia,43,0.43
Chile,39,0.39
Canada,36,0.36
Peru,34,0.34
Jamaica,32,0.32
Tunisia,28,0.28
DR Congo,22,0.22
Mali,22,0.22
Egypt,18,0.18
Cameroon,12,0.12
Bolivia,10,0.1
Paraguay,10,0.1
Iraq,5,0.05
Panama,3,0.03
Uzbekistan,2,0.02
Jordan,2,0.02
New Zealand,1,0.01
South Africa,1,0.01
Haiti,1,0.01
